X,Y
1.38,0.01
1.34,0.02
1.34,0.03
1.34,0.04
1.38,0.06
1.67,0.08
1.75,0.08
2.23,0.09
2.51,0.12
2.76,0.14
3.00,0.16
3.32,0.17
3.61,0.19
3.97,0.20
4.53,0.22
4.97,0.22
5.90,0.24
6.58,0.25
7.31,0.25
8.11,0.27
8.64,0.27
9.16,0.27
9.80,0.28
10.33,0.28
10.93,0.29
11.33,0.29
11.90,0.28
12.78,0.26
13.22,0.27
13.42,0.28
13.47,0.31
13.63,0.32
13.63,0.35
13.87,0.37
13.87,0.38
13.87,0.41
13.96,0.43
14.08,0.45
14.48,0.46
14.56,0.48
14.85,0.49
15.21,0.49
15.49,0.49
16.17,0.47
16.57,0.46
17.09,0.45
17.66,0.46
18.02,0.44
18.14,0.44
18.66,0.44
19.22,0.43
19.59,0.42
20.15,0.41
20.87,0.40
21.84,0.39
22.36,0.38
23.32,0.37
23.96,0.35
24.65,0.34
25.09,0.33
25.97,0.33
26.42,0.34
27.14,0.38
27.62,0.36
27.90,0.33
28.43,0.34
28.87,0.32
29.83,0.31
30.43,0.29
31.28,0.27
31.84,0.27
32.64,0.25
33.41,0.25
34.09,0.24
35.42,0.23
35.86,0.23
35.98,0.27
36.19,0.30
36.15,0.35
36.43,0.37
36.55,0.34
37.35,0.32
37.56,0.36
37.92,0.38
38.56,0.38
39.05,0.38
39.13,0.35
39.29,0.37

