  
 ------------------------
 2D Mesh Quality Measures
 ------------------------
  
Signed Area     Aspect Ratio    Condition       Edge Ratio      Jacobian        Minimum Angle   Maximum Angle   Area Sign       
      5.8400E-01      1.1218E+00      1.0237E+00      1.2427E+00      5.8332E-01      8.9860E+01      9.0150E+01      1.0000E+00
      5.8919E-01      1.1333E+00      1.0269E+00      1.2602E+00      5.8467E-01      8.8941E+01      9.1008E+01      1.0000E+00
      6.4053E-01      1.1869E+00      1.0519E+00      1.3717E+00      5.9305E-01      8.1073E+01      9.5866E+01      1.0000E+00
      5.6521E-01      1.2722E+00      1.1046E+00      1.5306E+00      4.8585E-01      8.1330E+01      1.0411E+02      1.0000E+00
      5.8258E-01      1.1207E+00      1.0233E+00      1.2406E+00      5.8184E-01      8.9850E+01      9.0130E+01      1.0000E+00
      5.7619E-01      1.1242E+00      1.0244E+00      1.2466E+00      5.6952E-01      8.9002E+01      9.0592E+01      1.0000E+00
      5.3628E-01      1.1506E+00      1.0562E+00      1.3962E+00      4.5618E-01      8.4602E+01      1.0067E+02      1.0000E+00
      5.8258E-01      1.1207E+00      1.0233E+00      1.2406E+00      5.8184E-01      8.9850E+01      9.0130E+01      1.0000E+00
      5.7619E-01      1.1242E+00      1.0244E+00      1.2466E+00      5.6952E-01      8.9002E+01      9.0592E+01      1.0000E+00
      5.3628E-01      1.1506E+00      1.0562E+00      1.3962E+00      4.5618E-01      8.4603E+01      1.0066E+02      1.0000E+00
      5.8400E-01      1.1218E+00      1.0237E+00      1.2427E+00      5.8332E-01      8.9860E+01      9.0150E+01      1.0000E+00
      5.8919E-01      1.1333E+00      1.0269E+00      1.2602E+00      5.8467E-01      8.8941E+01      9.1008E+01      1.0000E+00
      6.4052E-01      1.1869E+00      1.0519E+00      1.3717E+00      5.9305E-01      8.1075E+01      9.5865E+01      1.0000E+00
      5.6504E-01      1.2724E+00      1.1047E+00      1.5309E+00      4.8551E-01      8.1303E+01      1.0415E+02      1.0000E+00
      2.1820E-01      1.5678E+00      1.5159E+00      2.3552E+00      1.2398E-01      5.0862E+01      1.2405E+02      1.0000E+00
      2.1335E-01      1.9866E+00      1.7347E+00      2.7005E+00      1.0983E-01      4.1474E+01      1.3485E+02      1.0000E+00
      1.2433E-01      1.4079E+00      1.1554E+00      1.6542E+00      8.6243E-02      6.2993E+01      1.0823E+02      1.0000E+00
      1.5199E-01      1.1104E+00      1.0276E+00      1.2554E+00      1.4735E-01      8.6790E+01      9.3366E+01      1.0000E+00
      1.4989E-01      1.1349E+00      1.0292E+00      1.2728E+00      1.4769E-01      8.8900E+01      9.0599E+01      1.0000E+00
      1.5210E-01      1.2513E+00      1.0773E+00      1.3505E+00      1.2915E-01      7.6044E+01      1.0654E+02      1.0000E+00
      1.4871E-01      1.2763E+00      1.0951E+00      1.3883E+00      1.2884E-01      7.2511E+01      1.0834E+02      1.0000E+00
      1.6132E-01      1.1673E+00      1.0492E+00      1.3555E+00      1.4974E-01      8.1818E+01      9.4274E+01      1.0000E+00
      1.3941E-01      1.2613E+00      1.0821E+00      1.4140E+00      1.1975E-01      7.8558E+01      1.0447E+02      1.0000E+00
      1.4151E-01      1.3207E+00      1.1605E+00      1.4839E+00      1.0159E-01      7.0756E+01      1.2001E+02      1.0000E+00
      5.8241E-02      1.4143E+00      1.3616E+00      2.1211E+00      3.1973E-02      6.5710E+01      1.2476E+02      1.0000E+00
      5.3803E-02      1.6690E+00      1.4392E+00      2.0201E+00      3.2926E-02      5.1208E+01      1.3260E+02      1.0000E+00
      3.1791E-02      1.1786E+00      1.0499E+00      1.3464E+00      2.6945E-02      8.4235E+01      1.0264E+02      1.0000E+00
      1.4820E-01      1.3083E+00      1.1136E+00      1.4380E+00      1.2722E-01      7.0557E+01      1.0999E+02      1.0000E+00
      1.5670E-01      1.2649E+00      1.0831E+00      1.4380E+00      1.4422E-01      7.9113E+01      1.0133E+02      1.0000E+00
      6.1141E-02      1.5291E+00      1.4481E+00      2.3312E+00      3.1126E-02      6.1548E+01      1.2847E+02      1.0000E+00
